client_id,method,cost,gain
1927666,"{'emails': 2, 'calls': 2}",42.0,185128.52503836266
2244610,"{'emails': 2, 'calls': 2}",42.0,159653.88423872978
1339893,"{'emails': 2, 'calls': 2}",42.0,136390.27121867187
254713,"{'emails': 2, 'calls': 2}",42.0,135835.31222233074
315496,"{'emails': 2, 'calls': 2}",42.0,181294.2030183113
1445989,"{'emails': 2, 'calls': 2}",42.0,133724.3818333934
559811,"{'emails': 2, 'calls': 2}",42.0,132461.8645304733
551651,"{'emails': 2, 'calls': 2}",42.0,176433.5134963827
1722816,"{'emails': 2, 'calls': 2}",42.0,176127.84344165892
631876,"{'emails': 2, 'calls': 2}",42.0,153426.99421533258
1708388,"{'emails': 2, 'calls': 2}",42.0,128999.39038292269
1344561,"{'emails': 2, 'calls': 2}",42.0,172090.2524910837
255794,"{'emails': 2, 'calls': 2}",42.0,127810.86122214273
924307,"{'emails': 2, 'calls': 2}",42.0,148842.25658514412
1329298,"{'emails': 2, 'calls': 2}",42.0,148667.19689788437
630036,"{'emails': 2, 'calls': 2}",42.0,168563.12577284314
2209167,"{'emails': 2, 'calls': 2}",42.0,125240.21690511418
1837070,"{'emails': 2, 'calls': 2}",42.0,167652.00215128658
1499271,"{'emails': 2, 'calls': 2}",42.0,124128.69914553982
33945,"{'emails': 2, 'calls': 2}",42.0,123583.81796192165
794738,"{'emails': 2, 'calls': 2}",42.0,143848.80905648545
1933362,"{'emails': 2, 'calls': 2}",42.0,164620.1232652634
1941720,"{'emails': 2, 'calls': 2}",42.0,122449.85362736517
245272,"{'emails': 2, 'calls': 2}",42.0,162686.4692868907
2273574,"{'emails': 2, 'calls': 2}",42.0,120318.48802593956
2101105,"{'emails': 2, 'calls': 2}",42.0,161144.86131318397
1785158,"{'emails': 2, 'calls': 2}",42.0,161013.85079398617
674617,"{'emails': 2, 'calls': 2}",42.0,140249.82338485584
528506,"{'emails': 2, 'calls': 2}",42.0,118632.5906038512
1688054,"{'emails': 2, 'calls': 2}",42.0,138459.48369154477
1417996,"{'emails': 2, 'calls': 2}",42.0,118253.06074576153
1279952,"{'emails': 2, 'calls': 2}",42.0,137731.0288407877
1482926,"{'emails': 2, 'calls': 2}",42.0,116094.12101090884
1384459,"{'emails': 2, 'calls': 2}",42.0,135716.43993822954
1517824,"{'emails': 2, 'calls': 2}",42.0,115712.57506906884
135325,"{'emails': 2, 'calls': 2}",42.0,154531.77294706446
517696,"{'emails': 2, 'calls': 2}",42.0,115226.97272194995
1806531,"{'emails': 2, 'calls': 2}",42.0,151631.27396537038
2063562,"{'emails': 2, 'calls': 2}",42.0,151441.0653672294
1066590,"{'emails': 2, 'calls': 2}",42.0,147342.3484975618
438726,"{'emails': 2, 'calls': 2}",42.0,146931.67854502302
976682,"{'emails': 2, 'calls': 2}",42.0,143751.15364445536
316963,"{'emails': 2, 'calls': 2}",42.0,125276.72502105281
1798523,"{'emails': 2, 'calls': 2}",42.0,124694.62320768656
2271619,"{'emails': 2, 'calls': 2}",42.0,142489.23486475844
269678,"{'emails': 2, 'calls': 2}",42.0,141848.58298492606
351570,"{'emails': 2, 'calls': 2}",42.0,121865.44631566749
1774260,"{'emails': 2, 'calls': 2}",42.0,121010.83774523357
1492994,"{'emails': 2, 'calls': 2}",42.0,138269.82176424775
203244,"{'emails': 2, 'calls': 2}",42.0,103010.85935541522
736968,"{'emails': 2, 'calls': 2}",42.0,138013.431285483
1348505,"{'emails': 2, 'calls': 2}",42.0,102939.69607630651
1815987,"{'emails': 2, 'calls': 2}",42.0,137823.9655821758
1923484,"{'emails': 2, 'calls': 2}",42.0,135925.38194469767
2011853,"{'emails': 2, 'calls': 2}",42.0,118474.56814696017
2029347,"{'emails': 2, 'calls': 2}",42.0,101201.31604580367
1666266,"{'emails': 2, 'calls': 2}",42.0,118285.78117658332
838258,"{'emails': 2, 'calls': 2}",42.0,101015.8226244056
746360,"{'emails': 2, 'calls': 2}",42.0,135089.44945425604
1061219,"{'emails': 2, 'calls': 2}",42.0,117408.30468055597
2142683,"{'emails': 2, 'calls': 2}",42.0,100316.1078381612
878738,"{'emails': 2, 'calls': 2}",42.0,133984.68721671504
1090388,"{'emails': 2, 'calls': 2}",42.0,116831.60236336052
1630677,"{'emails': 2, 'calls': 2}",42.0,116373.49877442939
2241968,"{'emails': 2, 'calls': 2}",42.0,132797.19881131683
2257833,"{'emails': 2, 'calls': 2}",42.0,98667.87420916824
1933771,"{'emails': 2, 'calls': 2}",42.0,98532.72528735443
117709,"{'emails': 2, 'calls': 2}",42.0,98341.11041059768
1226179,"{'emails': 2, 'calls': 2}",42.0,114208.01087100501
1772868,"{'emails': 2, 'calls': 2}",42.0,130424.2118628777
1095289,"{'emails': 2, 'calls': 2}",42.0,97221.46498830624
786186,"{'emails': 2, 'calls': 2}",42.0,113269.16267566677
1932712,"{'emails': 2, 'calls': 2}",42.0,112862.53494513879
1606369,"{'emails': 2, 'calls': 2}",42.0,96396.17122989097
1330222,"{'emails': 2, 'calls': 2}",42.0,95878.86700636905
511577,"{'emails': 2, 'calls': 2}",42.0,112130.81213641149
1207077,"{'emails': 2, 'calls': 2}",42.0,128392.298590785
224524,"{'emails': 2, 'calls': 2}",42.0,112010.87104266752
705312,"{'emails': 2, 'calls': 2}",42.0,95106.80807694679
113149,"{'emails': 2, 'calls': 2}",42.0,127470.79877535037
201675,"{'emails': 2, 'calls': 2}",42.0,94869.33454340132
106488,"{'emails': 2, 'calls': 2}",42.0,110754.2870610166
237647,"{'emails': 2, 'calls': 2}",42.0,126703.38706765753
1342317,"{'emails': 2, 'calls': 2}",42.0,94330.23086827932
442588,"{'emails': 2, 'calls': 2}",42.0,125841.30972313203
274010,"{'emails': 2, 'calls': 2}",42.0,92928.17237429436
2032346,"{'emails': 2, 'calls': 2}",42.0,108223.9618889978
1592949,"{'emails': 2, 'calls': 2}",42.0,92320.5719863177
526883,"{'emails': 2, 'calls': 2}",42.0,90731.2670795471
1860260,"{'emails': 2, 'calls': 2}",42.0,121259.75424116339
381292,"{'emails': 2, 'calls': 2}",42.0,90405.18084905177
283625,"{'emails': 2, 'calls': 2}",42.0,120920.34027029184
867448,"{'emails': 2, 'calls': 2}",42.0,90187.19308288509
747888,"{'emails': 2, 'calls': 2}",42.0,105126.47521541097
1185130,"{'emails': 2, 'calls': 2}",42.0,119621.84100587868
1152568,"{'emails': 2, 'calls': 2}",42.0,88878.87490949382
1791515,"{'emails': 2, 'calls': 2}",42.0,88841.58740219465
2259196,"{'emails': 2, 'calls': 2}",42.0,88476.35640642604
1412142,"{'emails': 2, 'calls': 2}",42.0,88161.13634790294
923144,"{'emails': 2, 'calls': 2}",42.0,87712.98596769453
14,"{'emails': 2, 'calls': 2}",42.0,117282.47014590396
2005661,"{'emails': 2, 'calls': 2}",42.0,101338.69956492564
725438,"{'emails': 2, 'calls': 2}",42.0,101238.83343166846
778118,"{'emails': 2, 'calls': 2}",42.0,86297.38433714311
39877,"{'emails': 2, 'calls': 2}",42.0,115539.76647577822
2104472,"{'emails': 2, 'calls': 2}",42.0,100666.26249583515
2258491,"{'emails': 2, 'calls': 2}",42.0,85965.38368459696
1736276,"{'emails': 2, 'calls': 2}",42.0,100267.54887023754
498112,"{'emails': 2, 'calls': 2}",42.0,99789.96337478879
2010973,"{'emails': 2, 'calls': 2}",42.0,114300.52258988631
1024919,"{'emails': 2, 'calls': 2}",42.0,99759.79768879064
349582,"{'emails': 2, 'calls': 2}",42.0,85067.68768489595
1859952,"{'emails': 2, 'calls': 2}",42.0,99515.13214362317
1378802,"{'emails': 2, 'calls': 2}",42.0,85022.34827631457
313304,"{'emails': 2, 'calls': 2}",42.0,113760.01577401925
1643098,"{'emails': 2, 'calls': 2}",42.0,84228.88422967533
596775,"{'emails': 2, 'calls': 2}",42.0,84196.6533131134
687584,"{'emails': 2, 'calls': 2}",42.0,84151.02904951756
955820,"{'emails': 2, 'calls': 2}",42.0,98077.50221480236
877434,"{'emails': 2, 'calls': 2}",42.0,83794.52412583746
506296,"{'emails': 2, 'calls': 2}",42.0,98056.61758571239
1020477,"{'emails': 2, 'calls': 2}",42.0,83535.33452863108
2008265,"{'emails': 2, 'calls': 2}",42.0,111766.15484402276
802673,"{'emails': 2, 'calls': 2}",42.0,111597.61515737211
297733,"{'emails': 2, 'calls': 2}",42.0,83177.0104129839
238215,"{'emails': 2, 'calls': 2}",42.0,97265.93956748334
1276388,"{'emails': 2, 'calls': 2}",42.0,97239.51519195586
2024092,"{'emails': 2, 'calls': 2}",42.0,83080.01491151746
1592247,"{'emails': 2, 'calls': 2}",42.0,96865.29845438075
1772686,"{'emails': 2, 'calls': 2}",42.0,82250.90052435087
1110074,"{'emails': 2, 'calls': 2}",42.0,110245.9000263861
1199719,"{'emails': 2, 'calls': 2}",42.0,81906.59693034306
757650,"{'emails': 2, 'calls': 2}",42.0,109603.55430536703
1354396,"{'emails': 2, 'calls': 2}",42.0,109522.18107528739
1419468,"{'emails': 2, 'calls': 2}",42.0,94905.72354836603
1954881,"{'emails': 2, 'calls': 2}",42.0,94592.89569103747
1101928,"{'emails': 2, 'calls': 2}",42.0,80799.01009794048
1889854,"{'emails': 2, 'calls': 2}",42.0,80764.84735714839
1735239,"{'emails': 2, 'calls': 2}",42.0,94462.63250750929
1992242,"{'emails': 2, 'calls': 2}",42.0,108142.19023425282
591832,"{'emails': 2, 'calls': 2}",42.0,107347.79852916217
345269,"{'emails': 2, 'calls': 2}",42.0,93660.31346680476
1430290,"{'emails': 2, 'calls': 2}",42.0,93296.939354457
976974,"{'emails': 2, 'calls': 2}",42.0,79417.77605841788
612396,"{'emails': 2, 'calls': 2}",42.0,106086.31996385421
1876534,"{'emails': 2, 'calls': 2}",42.0,106027.54721597262
1306848,"{'emails': 2, 'calls': 2}",42.0,92539.16168934596
192301,"{'emails': 2, 'calls': 2}",42.0,92163.93921521293
1573269,"{'emails': 2, 'calls': 2}",42.0,105514.08557698115
670567,"{'emails': 2, 'calls': 2}",42.0,78641.78393266194
784023,"{'emails': 2, 'calls': 2}",42.0,91939.10067275031
1586814,"{'emails': 2, 'calls': 2}",42.0,91883.40671452328
385383,"{'emails': 2, 'calls': 2}",42.0,91688.69932205835
250977,"{'emails': 2, 'calls': 2}",42.0,78320.05834787445
577099,"{'emails': 2, 'calls': 2}",42.0,78177.09894047404
371301,"{'emails': 2, 'calls': 2}",42.0,77881.15532838866
2270627,"{'emails': 2, 'calls': 2}",42.0,90835.6333237904
1042144,"{'emails': 2, 'calls': 2}",42.0,103924.5769402339
1315527,"{'emails': 2, 'calls': 2}",42.0,90571.79009730561
652798,"{'emails': 2, 'calls': 2}",42.0,103704.19988416288
2198176,"{'emails': 2, 'calls': 2}",42.0,89275.19000050977
513380,"{'emails': 2, 'calls': 2}",42.0,101586.51537687061
24887,"{'emails': 2, 'calls': 2}",42.0,101292.15421804675
1509241,"{'emails': 2, 'calls': 2}",42.0,75395.71801852703
683383,"{'emails': 2, 'calls': 2}",42.0,100844.05586728315
232611,"{'emails': 2, 'calls': 2}",42.0,100707.27303764767
1542223,"{'emails': 2, 'calls': 2}",42.0,74993.43096323463
430146,"{'emails': 2, 'calls': 2}",42.0,100319.12965369262
1853481,"{'emails': 2, 'calls': 2}",42.0,74536.15149730859
1665802,"{'emails': 2, 'calls': 2}",42.0,74495.15376852699
1361966,"{'emails': 2, 'calls': 2}",42.0,98831.66278009019
558325,"{'emails': 2, 'calls': 2}",42.0,73703.33237949859
1611579,"{'emails': 2, 'calls': 2}",42.0,73623.02075783648
1015601,"{'emails': 2, 'calls': 2}",42.0,85918.27926958456
1673444,"{'emails': 2, 'calls': 2}",42.0,85779.14059333265
433629,"{'emails': 2, 'calls': 2}",42.0,97448.40055724798
803932,"{'emails': 2, 'calls': 2}",42.0,84677.22738726178
1388910,"{'emails': 2, 'calls': 2}",42.0,72325.5413411812
296291,"{'emails': 2, 'calls': 2}",42.0,96496.90443915092
153890,"{'emails': 2, 'calls': 2}",42.0,96225.36562384253
1595424,"{'emails': 2, 'calls': 2}",42.0,96042.75160283096
32211,"{'emails': 2, 'calls': 2}",42.0,83610.29556225402
97492,"{'emails': 2, 'calls': 2}",42.0,71422.5973584779
1138397,"{'emails': 2, 'calls': 2}",42.0,95515.02768379879
2113863,"{'emails': 2, 'calls': 2}",42.0,82819.49093546826
1697269,"{'emails': 2, 'calls': 2}",42.0,70759.30690194978
1666866,"{'emails': 2, 'calls': 2}",42.0,70750.43151506071
1525545,"{'emails': 2, 'calls': 2}",42.0,82575.31803927834
534843,"{'emails': 2, 'calls': 2}",42.0,82463.97911305603
2232451,"{'emails': 2, 'calls': 2}",42.0,82395.70970751712
1074887,"{'emails': 2, 'calls': 2}",42.0,94284.84991551569
2027801,"{'emails': 2, 'calls': 2}",42.0,94175.46507479127
2095387,"{'emails': 2, 'calls': 2}",42.0,94007.75817971342
310924,"{'emails': 2, 'calls': 2}",42.0,93906.49737808606
334812,"{'emails': 2, 'calls': 2}",42.0,69781.88252140924
566169,"{'emails': 2, 'calls': 2}",42.0,81640.77082609734
948017,"{'emails': 2, 'calls': 2}",42.0,81508.81287647766
1824052,"{'emails': 2, 'calls': 2}",42.0,81364.19368280326
2048559,"{'emails': 2, 'calls': 2}",42.0,81293.10328205532
903270,"{'emails': 2, 'calls': 2}",42.0,81022.66908425161
1242569,"{'emails': 2, 'calls': 2}",42.0,69210.70946593222
1633062,"{'emails': 2, 'calls': 2}",42.0,80843.13631124025
992178,"{'emails': 2, 'calls': 2}",42.0,69000.6154825426
2247243,"{'emails': 2, 'calls': 2}",42.0,68831.59006386028
1565218,"{'emails': 2, 'calls': 2}",42.0,68790.45307748172
940650,"{'emails': 2, 'calls': 2}",42.0,92106.88249033691
834287,"{'emails': 2, 'calls': 2}",42.0,68632.48701155139
1698074,"{'emails': 2, 'calls': 2}",42.0,91938.09868330079
882417,"{'emails': 2, 'calls': 2}",42.0,91858.89429956696
973658,"{'emails': 2, 'calls': 2}",42.0,80152.40488503453
382824,"{'emails': 2, 'calls': 2}",42.0,68449.9656009514
1582843,"{'emails': 2, 'calls': 2}",42.0,68172.88400784643
1583937,"{'emails': 2, 'calls': 2}",42.0,67961.4921183626
1932019,"{'emails': 2, 'calls': 2}",42.0,91060.47303801056
895931,"{'emails': 2, 'calls': 2}",42.0,67825.69412028581
1953099,"{'emails': 2, 'calls': 2}",42.0,90681.09572770589
604261,"{'emails': 2, 'calls': 2}",42.0,90314.84435426997
1153281,"{'emails': 2, 'calls': 2}",42.0,67243.15670600631
1975280,"{'emails': 2, 'calls': 2}",42.0,78431.45071112164
1621960,"{'emails': 2, 'calls': 2}",42.0,66940.00497256129
475640,"{'emails': 2, 'calls': 2}",42.0,89451.6649658803
1680490,"{'emails': 2, 'calls': 2}",42.0,78011.58718509521
1307079,"{'emails': 2, 'calls': 2}",42.0,66519.74122740154
1361894,"{'emails': 2, 'calls': 2}",42.0,89120.71576247198
1245638,"{'emails': 2, 'calls': 2}",42.0,88929.49577993302
1879369,"{'emails': 2, 'calls': 2}",42.0,66115.81402480308
439866,"{'emails': 2, 'calls': 2}",42.0,77082.88311489088
1168370,"{'emails': 2, 'calls': 2}",42.0,88196.8918141809
1874289,"{'emails': 2, 'calls': 2}",42.0,88150.83678092436
1600012,"{'emails': 2, 'calls': 2}",42.0,87976.6209073372
1492190,"{'emails': 2, 'calls': 2}",42.0,65588.67926586607
57631,"{'emails': 2, 'calls': 2}",42.0,87542.52087986893
1408864,"{'emails': 2, 'calls': 2}",42.0,65272.98793770782
125578,"{'emails': 2, 'calls': 2}",42.0,86640.25485595736
257861,"{'emails': 2, 'calls': 2}",42.0,86603.79717838424
380433,"{'emails': 2, 'calls': 2}",42.0,86388.2746281451
1235932,"{'emails': 2, 'calls': 2}",42.0,75388.45919495042
1430988,"{'emails': 2, 'calls': 2}",42.0,86322.53571863077
887036,"{'emails': 2, 'calls': 2}",42.0,64350.55209470552
689477,"{'emails': 2, 'calls': 2}",42.0,75264.21418858838
1919899,"{'emails': 2, 'calls': 2}",42.0,64139.63822285485
186614,"{'emails': 2, 'calls': 2}",42.0,75021.8661475479
1605559,"{'emails': 2, 'calls': 2}",42.0,85916.34563612711
1094636,"{'emails': 2, 'calls': 2}",42.0,85714.31947928209
2134607,"{'emails': 2, 'calls': 2}",42.0,85713.15480262788
1335899,"{'emails': 2, 'calls': 2}",42.0,74463.39947263632
1731983,"{'emails': 2, 'calls': 2}",42.0,63515.49343930886
660495,"{'emails': 2, 'calls': 2}",42.0,85134.52370096324
1183219,"{'emails': 2, 'calls': 2}",42.0,85001.0211276002
2006233,"{'emails': 2, 'calls': 2}",42.0,74203.87360030026
2170005,"{'emails': 2, 'calls': 2}",42.0,73680.1514884845
239348,"{'emails': 2, 'calls': 2}",42.0,73645.09661405896
1890932,"{'emails': 2, 'calls': 2}",42.0,84314.14923194544
2111116,"{'emails': 2, 'calls': 2}",42.0,62829.913045065354
2002776,"{'emails': 2, 'calls': 2}",42.0,73509.49344529782
1086572,"{'emails': 2, 'calls': 2}",42.0,73500.35221502824
440241,"{'emails': 2, 'calls': 2}",42.0,73386.14805485327
472099,"{'emails': 2, 'calls': 2}",42.0,62698.48834161382
1102882,"{'emails': 2, 'calls': 2}",42.0,73286.70212407217
1685351,"{'emails': 2, 'calls': 2}",42.0,73056.61162804582
520988,"{'emails': 2, 'calls': 2}",42.0,62422.168665105906
1582727,"{'emails': 2, 'calls': 2}",42.0,62255.85559899299
166624,"{'emails': 2, 'calls': 2}",42.0,72821.0648934966
264820,"{'emails': 2, 'calls': 2}",42.0,62196.40641709006
1468024,"{'emails': 2, 'calls': 2}",42.0,62134.25110959663
2129943,"{'emails': 2, 'calls': 2}",42.0,72650.8949677503
1123869,"{'emails': 2, 'calls': 2}",42.0,61926.116600493224
1898916,"{'emails': 2, 'calls': 2}",42.0,61856.89630222535
2024510,"{'emails': 2, 'calls': 2}",42.0,82449.55281102774
1172375,"{'emails': 2, 'calls': 2}",42.0,61393.05686983867
1039875,"{'emails': 2, 'calls': 2}",42.0,61338.43143788591
774613,"{'emails': 2, 'calls': 2}",42.0,71693.98931011104
951757,"{'emails': 2, 'calls': 2}",42.0,82116.29245599505
1765043,"{'emails': 2, 'calls': 2}",42.0,61250.21387026213
796022,"{'emails': 2, 'calls': 2}",42.0,71549.56836750629
1267503,"{'emails': 2, 'calls': 2}",42.0,71504.24167135333
1900664,"{'emails': 2, 'calls': 2}",42.0,81798.78536541422
692195,"{'emails': 2, 'calls': 2}",42.0,60880.323842712634
2041356,"{'emails': 2, 'calls': 2}",42.0,60752.67338934234
553655,"{'emails': 2, 'calls': 2}",42.0,60429.671063006375
2187713,"{'emails': 2, 'calls': 2}",42.0,60336.81991883665
171312,"{'emails': 2, 'calls': 2}",42.0,70606.62958293057
1837520,"{'emails': 2, 'calls': 2}",42.0,80867.37472989863
1431063,"{'emails': 2, 'calls': 2}",42.0,70152.83154986684
2056558,"{'emails': 2, 'calls': 2}",42.0,80313.21910960885
734322,"{'emails': 2, 'calls': 2}",42.0,70028.53133649085
548753,"{'emails': 2, 'calls': 2}",42.0,59842.46789459602
1538838,"{'emails': 2, 'calls': 2}",42.0,70001.4461812207
1257195,"{'emails': 2, 'calls': 2}",42.0,79671.93320265536
853623,"{'emails': 2, 'calls': 2}",42.0,69435.62782480157
776358,"{'emails': 2, 'calls': 2}",42.0,69344.69760767932
1062097,"{'emails': 2, 'calls': 2}",42.0,58962.143707905445
1322020,"{'emails': 2, 'calls': 2}",42.0,58921.24611549268
1896963,"{'emails': 2, 'calls': 2}",42.0,58616.92530125848
854451,"{'emails': 2, 'calls': 2}",42.0,58587.0673710206
1988469,"{'emails': 2, 'calls': 2}",42.0,78416.13239446141
163448,"{'emails': 2, 'calls': 2}",42.0,68455.5557360996
908470,"{'emails': 2, 'calls': 2}",42.0,78345.92066939642
569096,"{'emails': 2, 'calls': 2}",42.0,68356.71053671587
2011327,"{'emails': 2, 'calls': 2}",42.0,58409.851483299586
938174,"{'emails': 2, 'calls': 2}",42.0,68300.84939241735
385520,"{'emails': 2, 'calls': 2}",42.0,78078.48398743776
2086156,"{'emails': 2, 'calls': 2}",42.0,68128.02491243441
2083410,"{'emails': 2, 'calls': 2}",42.0,77783.70506660099
431555,"{'emails': 2, 'calls': 2}",42.0,77571.2195301519
1099928,"{'emails': 2, 'calls': 2}",42.0,57804.431496459314
1665304,"{'emails': 2, 'calls': 2}",42.0,67602.30270346999
655972,"{'emails': 2, 'calls': 2}",42.0,77242.86088424319
1406355,"{'emails': 2, 'calls': 2}",42.0,57488.73706509496
1580202,"{'emails': 2, 'calls': 2}",42.0,57459.67124087472
1249092,"{'emails': 2, 'calls': 2}",42.0,57380.086461071514
517065,"{'emails': 2, 'calls': 2}",42.0,76832.25984906446
139835,"{'emails': 2, 'calls': 2}",42.0,76354.78046627222
819814,"{'emails': 2, 'calls': 2}",42.0,76290.6829309965
892705,"{'emails': 2, 'calls': 2}",42.0,66565.42493802743
1415806,"{'emails': 2, 'calls': 2}",42.0,66507.54106006994
372912,"{'emails': 2, 'calls': 2}",42.0,56807.27184914968
985303,"{'emails': 2, 'calls': 2}",42.0,56640.22241549418
831718,"{'emails': 2, 'calls': 2}",42.0,66253.51785352649
213668,"{'emails': 2, 'calls': 2}",42.0,66211.24136735793
41637,"{'emails': 2, 'calls': 2}",42.0,75741.79777807313
1557652,"{'emails': 2, 'calls': 2}",42.0,65943.63265330392
1277127,"{'emails': 2, 'calls': 2}",42.0,56280.217335201014
2092620,"{'emails': 2, 'calls': 2}",42.0,75048.5880004428
291547,"{'emails': 2, 'calls': 2}",42.0,65497.15543283582
1159288,"{'emails': 2, 'calls': 2}",42.0,65341.0023834831
1319549,"{'emails': 2, 'calls': 2}",42.0,65241.2784456228
30450,"{'emails': 2, 'calls': 2}",42.0,65222.22910227847
187747,"{'emails': 2, 'calls': 2}",42.0,65048.716891680844
473896,"{'emails': 2, 'calls': 2}",42.0,74213.11049463671
1251083,"{'emails': 2, 'calls': 2}",42.0,64753.83565192537
1656170,"{'emails': 2, 'calls': 2}",42.0,64587.35933132514
1347437,"{'emails': 2, 'calls': 2}",42.0,55127.89133868642
293976,"{'emails': 2, 'calls': 2}",42.0,73894.31082911609
1794411,"{'emails': 2, 'calls': 2}",42.0,54984.2878855864
1354446,"{'emails': 2, 'calls': 2}",42.0,54802.24849217594
2084402,"{'emails': 2, 'calls': 2}",42.0,73113.64039693608
1616101,"{'emails': 2, 'calls': 2}",42.0,63812.55597329009
1677494,"{'emails': 2, 'calls': 2}",42.0,63798.921968753144
264180,"{'emails': 2, 'calls': 2}",42.0,72838.31947344351
2165416,"{'emails': 2, 'calls': 2}",42.0,54131.714632565105
436955,"{'emails': 2, 'calls': 2}",42.0,63329.80494048607
151397,"{'emails': 2, 'calls': 2}",42.0,54091.255084389144
613336,"{'emails': 2, 'calls': 2}",42.0,63284.84311031907
609244,"{'emails': 2, 'calls': 2}",42.0,54052.43396696174
1195140,"{'emails': 2, 'calls': 2}",42.0,72325.535439309
195689,"{'emails': 2, 'calls': 2}",42.0,72194.7746530541
1277572,"{'emails': 2, 'calls': 2}",42.0,53847.52423269261
436537,"{'emails': 2, 'calls': 2}",42.0,62930.32503292491
2027538,"{'emails': 2, 'calls': 2}",42.0,53750.94386237867
1439652,"{'emails': 2, 'calls': 2}",42.0,62604.17053322338
1348829,"{'emails': 2, 'calls': 2}",42.0,71658.47801417373
1948639,"{'emails': 2, 'calls': 2}",42.0,62456.46234490643
246242,"{'emails': 2, 'calls': 2}",42.0,53178.41456242423
1793336,"{'emails': 2, 'calls': 2}",42.0,71239.72801338337
1729848,"{'emails': 2, 'calls': 2}",42.0,62114.057604854475
1485314,"{'emails': 2, 'calls': 2}",42.0,62094.42240782299
2196611,"{'emails': 2, 'calls': 2}",42.0,62067.83896802769
900195,"{'emails': 2, 'calls': 2}",42.0,53036.71303268327
19470,"{'emails': 2, 'calls': 2}",42.0,70890.83775757632
565246,"{'emails': 2, 'calls': 2}",42.0,70852.16203404007
1542288,"{'emails': 2, 'calls': 2}",42.0,61777.08174197971
1459160,"{'emails': 2, 'calls': 2}",42.0,70668.54586612822
720278,"{'emails': 2, 'calls': 2}",42.0,70588.23005472179
103426,"{'emails': 2, 'calls': 2}",42.0,70578.13528559972
1717937,"{'emails': 2, 'calls': 2}",42.0,61548.17164690184
1447199,"{'emails': 2, 'calls': 2}",42.0,70500.58831504575
1759387,"{'emails': 2, 'calls': 2}",42.0,52556.21368403036
1362985,"{'emails': 2, 'calls': 2}",42.0,61375.82623684743
569729,"{'emails': 2, 'calls': 2}",42.0,61228.907775372885
6839,"{'emails': 2, 'calls': 2}",42.0,61125.42999574841
